gene_short_name	status	p_value	morans_test_statistic	morans_I	q_value
Fth1	OK	5.39446235521195e-101	21.3023835430217	0.261115298613639	4.65807543053222e-100
Fbxl22	FAIL	NA	NA	NA	1
Hk2	OK	2.63561032606679e-33	11.9673064416769	0.148021671027348	5.97405007241805e-33
Net1	FAIL	NA	NA	NA	1
Sned1	FAIL	NA	NA	NA	1
Kit	FAIL	NA	NA	NA	1
Nedd4	FAIL	NA	NA	NA	1
Pou2f2	FAIL	NA	NA	NA	1
Cavin1	FAIL	NA	NA	NA	1
Aplp2	FAIL	NA	NA	NA	1
Susd5	OK	0.00398008910344853	2.65375422703136	0.000236512120770967	0.0051429179864038
Pou2af1	OK	3.27533230718425e-34	12.139145374185	0.147550226453521	7.58204585152438e-34
Rhoj	FAIL	NA	NA	NA	1
Ugdh	FAIL	NA	NA	NA	1
Dsc2	OK	1.1497910937271e-13	7.33011331088194	0.0651736850242911	1.84509249258862e-13
Nucb2	FAIL	NA	NA	NA	1
Bcr	FAIL	NA	NA	NA	1
Nostrin	FAIL	NA	NA	NA	1
Fgd4	OK	3.81505655778533e-174	28.1088799119579	0.345757437314867	6.91796922478407e-173
Fermt2	FAIL	NA	NA	NA	1
Myo1g	FAIL	NA	NA	NA	1
Myo10	FAIL	NA	NA	NA	1
Kcnk3	OK	3.83455615201559e-09	5.77557413540959	0.0616757380752533	5.60752297499054e-09
Atp1a2	FAIL	NA	NA	NA	1
Angpt1	FAIL	NA	NA	NA	1
Aqp7	OK	1.10295499347207e-15	7.92918372248757	0.0833165275255808	1.83488537140307e-15
Gfra3	FAIL	NA	NA	NA	1
Hpgd	OK	0.000111113898594483	3.69230834770464	0.0417484460615672	0.000147429172769265
Ftl1	FAIL	NA	NA	NA	1
Scg3	FAIL	NA	NA	NA	1
S100a10	FAIL	NA	NA	NA	1
LOC691670	FAIL	NA	NA	NA	1
Rbm38	OK	7.05620675111196e-25	10.2329696982145	0.124600999295909	1.42169498985367e-24
Arxes2	FAIL	NA	NA	NA	1
Inhba	OK	9.91007755091562e-45	13.9829146861269	0.170641098298762	2.76465753215287e-44
Selenom	FAIL	NA	NA	NA	1
Sox10	FAIL	NA	NA	NA	1
Slc15a2	FAIL	NA	NA	NA	1
Sncaip	OK	2.21908378474233e-25	10.3443719398004	0.111717019765942	4.53827661240537e-25
Fcrla	OK	1.88480302981589e-24	10.1374102364988	0.12325601904968	3.78351604509167e-24
Fjx1	OK	1.6411519161473e-58	16.0843974133425	0.185932154548335	6.3318201587527e-58
Itgb8	FAIL	NA	NA	NA	1
Fcgrt	FAIL	NA	NA	NA	1
Mmp8	FAIL	NA	NA	NA	1
Pim3	FAIL	NA	NA	NA	1
Slc45a3	FAIL	NA	NA	NA	1
Aldoc	FAIL	NA	NA	NA	1
Susd4	FAIL	NA	NA	NA	1
Anxa5	FAIL	NA	NA	NA	1
Sik1	OK	5.78340009608868e-05	3.85513030837659	0.0465455715351381	7.74918633564592e-05
Pbk	FAIL	NA	NA	NA	1
Itgal	FAIL	NA	NA	NA	1
Tspan7	FAIL	NA	NA	NA	1
Fam167b	OK	0	53.745372599118	0.663351284421272	0
Sorcs2	FAIL	NA	NA	NA	1
Eng	FAIL	NA	NA	NA	1
Angpt2	FAIL	NA	NA	NA	1
Sell	OK	3.49879968939011e-23	9.84792162521	0.119852251694851	6.8712889206795e-23
Spns3	OK	0.058500115099081	1.56748987853905	0.00250707078570983	0.0713544004795965
Psap	FAIL	NA	NA	NA	1
Ccrl2	FAIL	NA	NA	NA	1
Pclaf	FAIL	NA	NA	NA	1
AABR07000658.2	OK	5.797595591851e-133	24.5098634092979	0.292719152105442	7.88473000491736e-132
Siglec5	OK	7.25895901983905e-37	12.6295101459357	0.111176331202657	1.74728925079312e-36
Phospho1	OK	0.102586438856645	1.2669508138822	0.0114269852222833	0.123194310679945
Cd55	OK	7.9643174388742e-260	34.4133383311732	0.42994392809398	3.09470620481969e-258
AABR07038983.1	FAIL	NA	NA	NA	1
Sectm1a	FAIL	NA	NA	NA	1
Pcsk1	FAIL	NA	NA	NA	1
Slc25a4	FAIL	NA	NA	NA	1
Abca1	FAIL	NA	NA	NA	1
Slc7a15	FAIL	NA	NA	NA	1
Ssc5d	FAIL	NA	NA	NA	1
Oas1a	FAIL	NA	NA	NA	1
Tfec	FAIL	NA	NA	NA	1
Laptm4a	FAIL	NA	NA	NA	1
